-----------------------------------------------------------------------------------------
---  TAG: Peso003
---  Date: 2020/05/07 16:33:00 - 2020/05/14 16:33:00
---  TimeZone: (UTC+01:00)
-----------------------------------------------------------------------------------------

DATE;VALUE;STATE;STATE DETAIL
14/05/2020 12:11:36.187;18500;0;
14/05/2020 12:11:37.188;18500;0;
14/05/2020 12:11:38.193;18500;0;
14/05/2020 12:11:39.199;18480;0;
14/05/2020 12:11:40.202;18480;0;
14/05/2020 12:11:41.209;18480;0;
14/05/2020 12:11:42.210;18480;0;
14/05/2020 12:11:43.217;18480;0;
14/05/2020 12:11:44.223;18480;0;
14/05/2020 12:11:45.230;18480;0;
14/05/2020 12:11:46.232;18480;0;
14/05/2020 12:11:47.238;18480;0;
14/05/2020 12:11:48.245;18480;0;
14/05/2020 12:11:49.249;18480;0;
14/05/2020 12:11:50.252;18480;0;
14/05/2020 12:11:51.256;18480;0;
14/05/2020 12:11:52.260;18480;0;
14/05/2020 12:11:53.261;18480;0;
14/05/2020 12:11:54.268;18480;0;
14/05/2020 12:11:55.275;18480;0;
14/05/2020 12:11:56.282;18480;0;
14/05/2020 12:11:57.284;18480;0;
14/05/2020 12:11:58.289;18480;0;
14/05/2020 12:11:59.294;18480;0;
14/05/2020 12:12:00.297;18480;0;
14/05/2020 12:12:01.304;18480;0;
14/05/2020 12:12:02.310;18480;0;
14/05/2020 12:12:03.312;18480;0;
14/05/2020 12:12:04.319;18480;0;
14/05/2020 12:12:05.325;18480;0;
14/05/2020 12:12:06.326;18480;0;
14/05/2020 12:12:07.334;18480;0;
14/05/2020 12:12:08.340;18480;0;
14/05/2020 12:12:09.342;18500;0;
14/05/2020 12:12:10.349;18500;0;
14/05/2020 12:12:11.355;18500;0;
14/05/2020 12:12:12.356;18500;0;
14/05/2020 12:12:13.363;18480;0;
14/05/2020 12:12:14.369;18480;0;
14/05/2020 12:12:15.377;18480;0;
14/05/2020 12:12:16.380;18480;0;
14/05/2020 12:12:17.383;18480;0;
14/05/2020 12:12:18.391;18480;0;
14/05/2020 12:12:19.407;18480;0;
14/05/2020 12:12:20.414;18480;0;
14/05/2020 12:12:21.415;18500;0;
14/05/2020 12:12:22.422;18500;0;
14/05/2020 12:12:23.424;18500;0;
14/05/2020 12:12:24.429;18500;0;
14/05/2020 12:12:25.431;18500;0;
14/05/2020 12:12:26.438;18500;0;
14/05/2020 12:12:27.444;18500;0;
14/05/2020 12:12:28.452;18500;0;
14/05/2020 12:12:29.458;18500;0;
14/05/2020 12:12:30.465;18500;0;
14/05/2020 12:12:31.466;18480;0;
14/05/2020 12:12:32.467;18480;0;
14/05/2020 12:12:33.469;18480;0;
14/05/2020 12:12:34.474;18480;0;
14/05/2020 12:12:35.477;18480;0;
14/05/2020 12:12:36.483;18480;0;
14/05/2020 12:12:37.484;18480;0;
14/05/2020 12:12:38.491;18480;0;
14/05/2020 12:12:39.494;18480;0;
14/05/2020 12:12:40.499;18480;0;
14/05/2020 12:12:41.506;18480;0;
14/05/2020 12:12:42.513;18480;0;
14/05/2020 12:12:43.529;18480;0;
14/05/2020 12:12:44.534;18480;0;
14/05/2020 12:12:45.535;18480;0;
14/05/2020 12:12:46.539;18580;0;
14/05/2020 12:12:47.546;18520;0;
14/05/2020 12:12:48.552;18500;0;
14/05/2020 12:12:49.558;18480;0;
14/05/2020 12:12:50.565;18480;0;
14/05/2020 12:12:51.568;18480;0;
14/05/2020 12:12:52.574;18480;0;
14/05/2020 12:12:53.575;18480;0;
14/05/2020 12:12:54.581;18480;0;
14/05/2020 12:12:55.588;18480;0;
14/05/2020 12:12:56.590;18480;0;
14/05/2020 12:12:57.596;18480;0;
14/05/2020 12:12:58.604;18480;0;
14/05/2020 12:12:59.606;18480;0;
14/05/2020 12:13:00.610;18480;0;
14/05/2020 12:13:01.617;18480;0;
14/05/2020 12:13:02.619;18480;0;
14/05/2020 12:13:03.626;18480;0;
14/05/2020 12:13:04.632;18480;0;
14/05/2020 12:13:05.638;18480;0;
14/05/2020 12:13:06.641;18480;0;
14/05/2020 12:13:07.647;18480;0;
14/05/2020 12:13:08.654;18480;0;
14/05/2020 12:13:09.658;18480;0;
14/05/2020 12:13:10.660;18480;0;
14/05/2020 12:13:11.663;18480;0;
14/05/2020 12:13:12.669;18480;0;
14/05/2020 12:13:13.670;18480;0;
14/05/2020 12:13:14.677;18480;0;
14/05/2020 12:13:15.684;18480;0;
14/05/2020 12:13:16.700;18480;0;
14/05/2020 12:13:17.705;18480;0;
14/05/2020 12:13:18.710;18480;0;
14/05/2020 12:13:19.715;18480;0;
14/05/2020 12:13:20.717;18480;0;
14/05/2020 12:13:21.720;18480;0;
14/05/2020 12:13:22.722;18480;0;
14/05/2020 12:13:23.725;18480;0;
14/05/2020 12:13:24.727;18480;0;
14/05/2020 12:13:25.735;18460;0;
14/05/2020 12:13:26.741;18420;0;
14/05/2020 12:13:27.748;16300;0;
14/05/2020 12:13:28.755;12500;0;
14/05/2020 12:13:29.761;12460;0;
14/05/2020 12:13:30.767;8740;0;
14/05/2020 12:13:31.768;8540;0;
14/05/2020 12:13:32.775;8540;0;
14/05/2020 12:13:33.782;5560;0;
14/05/2020 12:13:34.784;1660;0;
14/05/2020 12:13:35.791;0;0;
14/05/2020 12:14:00.924;20;0;
14/05/2020 12:14:01.931;100;0;
14/05/2020 12:14:02.938;40;0;
14/05/2020 12:14:03.944;0;0;
14/05/2020 12:16:45.711;60;0;
14/05/2020 12:16:46.717;20;0;
14/05/2020 12:16:47.724;0;0;
14/05/2020 12:17:09.818;5840;0;
14/05/2020 12:17:10.823;6140;0;
14/05/2020 12:17:11.839;12560;0;
14/05/2020 12:17:12.841;12980;0;
14/05/2020 12:17:13.850;20600;0;
14/05/2020 12:17:14.851;26500;0;
14/05/2020 12:17:15.857;35340;0;
14/05/2020 12:17:16.859;35700;0;
14/05/2020 12:17:17.861;35640;0;
14/05/2020 12:17:18.865;35700;0;
14/05/2020 12:17:19.872;35840;0;
14/05/2020 12:17:20.875;35840;0;
14/05/2020 12:17:21.882;35680;0;
14/05/2020 12:17:22.887;35640;0;
14/05/2020 12:17:23.893;35640;0;
14/05/2020 12:17:24.901;35640;0;
14/05/2020 12:17:25.907;35640;0;
14/05/2020 12:17:26.914;35640;0;
14/05/2020 12:17:27.916;35640;0;
14/05/2020 12:17:28.923;35640;0;
14/05/2020 12:17:29.928;35640;0;
14/05/2020 12:17:30.936;35640;0;
14/05/2020 12:17:31.937;35580;0;
14/05/2020 12:17:32.944;35540;0;
14/05/2020 12:17:33.951;35500;0;
14/05/2020 12:17:34.954;35500;0;
14/05/2020 12:17:35.959;35500;0;
14/05/2020 12:17:36.960;35500;0;
14/05/2020 12:17:37.976;35500;0;
14/05/2020 12:17:38.978;35500;0;
14/05/2020 12:17:39.983;35500;0;
14/05/2020 12:17:40.985;35500;0;
14/05/2020 12:17:41.987;35500;0;
14/05/2020 12:17:42.994;35500;0;
14/05/2020 12:17:44.001;35500;0;
14/05/2020 12:17:45.008;35500;0;
14/05/2020 12:17:46.013;35500;0;
14/05/2020 12:17:47.016;35500;0;
14/05/2020 12:17:48.019;35500;0;
14/05/2020 12:17:49.022;35500;0;
14/05/2020 12:17:50.024;35500;0;
14/05/2020 12:17:51.026;35500;0;
14/05/2020 12:17:52.028;35500;0;
14/05/2020 12:17:53.034;35500;0;
14/05/2020 12:17:54.036;35500;0;
14/05/2020 12:17:55.041;35500;0;
14/05/2020 12:17:56.047;35500;0;
14/05/2020 12:17:57.053;35500;0;
14/05/2020 12:17:58.069;35500;0;
14/05/2020 12:17:59.074;35500;0;
14/05/2020 12:18:00.075;35500;0;
14/05/2020 12:18:01.076;35500;0;
14/05/2020 12:18:02.083;35500;0;
14/05/2020 12:18:03.090;35500;0;
14/05/2020 12:18:04.096;35500;0;
14/05/2020 12:18:05.102;35500;0;
14/05/2020 12:18:06.107;35500;0;
14/05/2020 12:18:07.123;35500;0;
14/05/2020 12:18:08.124;35500;0;
14/05/2020 12:18:09.125;35500;0;
14/05/2020 12:18:10.132;35500;0;
14/05/2020 12:18:11.135;35500;0;
14/05/2020 12:18:12.137;35500;0;
14/05/2020 12:18:13.138;35500;0;
14/05/2020 12:18:14.141;35500;0;
14/05/2020 12:18:15.147;35500;0;
14/05/2020 12:18:16.163;35500;0;
14/05/2020 12:18:17.178;35500;0;
14/05/2020 12:18:18.184;35500;0;
14/05/2020 12:18:19.191;35500;0;
14/05/2020 12:18:20.197;35500;0;
14/05/2020 12:18:21.198;35500;0;
14/05/2020 12:18:22.203;35500;0;
14/05/2020 12:18:23.206;35500;0;
14/05/2020 12:18:24.208;35500;0;
14/05/2020 12:18:25.210;35500;0;
14/05/2020 12:18:26.214;35500;0;
14/05/2020 12:18:27.222;35500;0;
14/05/2020 12:18:28.229;35500;0;
14/05/2020 12:18:29.236;35500;0;
14/05/2020 12:18:30.239;35500;0;
14/05/2020 12:18:31.244;35500;0;
14/05/2020 12:18:32.250;35500;0;
14/05/2020 12:18:33.256;35500;0;
14/05/2020 12:18:34.262;35500;0;
14/05/2020 12:18:35.264;35500;0;
14/05/2020 12:18:36.271;35500;0;
14/05/2020 12:18:37.273;35500;0;
14/05/2020 12:18:38.274;35500;0;
14/05/2020 12:18:39.279;35500;0;
14/05/2020 12:18:40.282;35500;0;
14/05/2020 12:18:41.289;35500;0;
14/05/2020 12:18:42.291;35500;0;
14/05/2020 12:18:43.297;35500;0;
14/05/2020 12:18:44.304;35500;0;
14/05/2020 12:18:45.308;35500;0;
14/05/2020 12:18:46.311;35500;0;
14/05/2020 12:18:47.319;35500;0;
14/05/2020 12:18:48.335;35500;0;
14/05/2020 12:18:49.337;35500;0;
14/05/2020 12:18:50.344;35500;0;
14/05/2020 12:18:51.345;35500;0;
14/05/2020 12:18:52.351;35500;0;
14/05/2020 12:18:53.355;35500;0;
14/05/2020 12:18:54.359;35500;0;
14/05/2020 12:18:55.360;35500;0;
14/05/2020 12:18:56.366;35500;0;
14/05/2020 12:18:57.374;35500;0;
14/05/2020 12:18:58.379;35500;0;
14/05/2020 12:18:59.380;35500;0;
14/05/2020 12:19:00.383;35500;0;
14/05/2020 12:19:01.390;35500;0;
14/05/2020 12:19:02.393;35500;0;
14/05/2020 12:19:03.398;35500;0;
14/05/2020 12:19:04.405;35500;0;
14/05/2020 12:19:05.408;35500;0;
14/05/2020 12:19:06.413;35500;0;
14/05/2020 12:19:07.418;35500;0;
14/05/2020 12:19:08.424;35500;0;
14/05/2020 12:19:09.426;35500;0;
14/05/2020 12:19:10.434;35500;0;
14/05/2020 12:19:11.438;35500;0;
14/05/2020 12:19:12.442;35500;0;
14/05/2020 12:19:13.443;35500;0;
14/05/2020 12:19:14.450;35500;0;
14/05/2020 12:19:15.453;35500;0;
14/05/2020 12:19:16.458;35500;0;
14/05/2020 12:19:17.464;35500;0;
14/05/2020 12:19:18.471;35500;0;
14/05/2020 12:19:19.472;35500;0;
14/05/2020 12:19:20.479;35500;0;
14/05/2020 12:19:21.481;35500;0;
14/05/2020 12:19:22.482;35500;0;
14/05/2020 12:19:23.488;35500;0;
14/05/2020 12:19:24.490;35500;0;
14/05/2020 12:19:25.494;35500;0;
14/05/2020 12:19:26.498;35500;0;
14/05/2020 12:19:27.503;35500;0;
14/05/2020 12:19:28.506;35500;0;
14/05/2020 12:19:29.509;35500;0;
14/05/2020 12:19:30.513;35500;0;
14/05/2020 12:19:31.520;35500;0;
14/05/2020 12:19:32.522;35500;0;
14/05/2020 12:19:33.529;35500;0;
